,Bank0,Bank1,Bank2,Bank3,Bank4,Bank5,Bank6,Bank7,DIMMBER,Label,Pattern,Temperature,VendorMask,tRAS,tRCD,tRP,Model
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0xff,20,C,35.0,12.5,10.0,C-M0
32,0.0,0.00100575294346,9.44398343563e-05,0.000143078155816,1.09765678644e-05,2.28956341743e-05,0.000215088017285,0.000905243679881,0.000299684354104,y22,0xff,20,C,35.0,12.5,7.5,C-M0
33,0.0,0.494689941406,0.495178222656,0.49609375,0.495483398438,0.495727539062,0.494934082031,0.494262695312,0.433296203613,y22,0xff,20,C,35.0,12.5,5.0,C-M0
34,0.0,0.49517822545,0.495666509494,0.495910650119,0.495544434525,0.49499511905,0.495422367007,0.495666505769,0.433547976427,y22,0xff,20,C,35.0,12.5,2.5,C-M0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x55,20,C,35.0,12.5,10.0,C-M0
36,0.0,0.0012491364032,0.000120778568089,0.000153317116201,1.2387521565e-05,4.08161431551e-05,0.000186539255083,0.000800868496299,0.000320480437949,y22,0x55,20,C,35.0,12.5,7.5,C-M0
37,0.0,0.248291015625,0.247528076172,0.247406005859,0.247863769531,0.247680664062,0.247650146484,0.248077392578,0.216812133789,y22,0x55,20,C,35.0,12.5,5.0,C-M0
38,0.0,0.247924805619,0.247955322266,0.247863769531,0.247802734375,0.248168945312,0.247711181641,0.24755859375,0.216873169062,y22,0x55,20,C,35.0,12.5,2.5,C-M0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x33,20,C,35.0,12.5,10.0,C-M0
40,0.0,0.00127496756613,0.000171799212694,0.000210117548704,1.59339979291e-05,4.03011217713e-05,0.00023752823472,0.00094448402524,0.000361891463399,y22,0x33,20,C,35.0,12.5,7.5,C-M0
41,0.0,0.247497558594,0.247802734375,0.247924804688,0.248016357422,0.247894287109,0.247619628906,0.247711181641,0.216808319092,y22,0x33,20,C,35.0,12.5,5.0,C-M0
42,0.0,0.247863769531,0.247741699219,0.247833251953,0.247802737169,0.247772216797,0.247680664062,0.247756976495,0.216806414403,y22,0x33,20,C,35.0,12.5,2.5,C-M0
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x55,20,C,35.0,12.5,10.0,C-M0
44,0.0,0.00113204866648,9.96114686131e-05,0.000134016387165,1.68569386005e-05,3.2477080822e-05,0.000164087861776,0.000711878761649,0.000286372145638,y22,0x55,20,C,35.0,12.5,7.5,C-M0
45,0.0,0.247528076172,0.247680664062,0.248046875,0.247680664062,0.247772216797,0.247711181641,0.247528076172,0.216743469238,y22,0x55,20,C,35.0,12.5,5.0,C-M0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0xff,20,C,35.0,12.5,10.0,C-M0
47,0.0,0.0010898951441,0.000108516775072,0.000154768116772,1.38878822327e-05,2.86633148789e-05,0.000219549052417,0.00094345677644,0.00031984213274,y22,0xff,20,C,35.0,12.5,7.5,C-M0
48,0.0,0.49560546875,0.494934082031,0.49560546875,0.49658203125,0.495361328125,0.495788574219,0.494873046875,0.43359375,y22,0xff,20,C,35.0,12.5,5.0,C-M0
49,0.0,0.4945068378,0.495605473407,0.4954834003,0.496521001682,0.496093751863,0.494812019169,0.495117194019,0.43351745978,y22,0xff,20,C,35.0,12.5,2.5,C-M0
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x55,20,C,35.0,12.5,10.0,C-M0
51,0.0,0.00118271913379,0.000108432024717,0.00013842061162,1.56788155437e-05,3.5872682929e-05,0.000169017352164,0.000735527835786,0.000298208557069,y22,0x55,20,C,35.0,12.5,7.5,C-M0
52,0.0,0.247955322266,0.247955322266,0.247833251953,0.247802736238,0.248168945312,0.247833251953,0.248260498047,0.216976166004,y22,0x55,20,C,35.0,12.5,5.0,C-M0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x55,20,C,35.0,12.5,10.0,C-M0
54,0.0,0.000358746387064,2.61534005404e-05,3.46396118402e-05,5.77140599489e-06,7.24662095308e-06,5.2067451179e-05,0.000242169946432,9.08493530005e-05,y22,0x55,20,C,35.0,12.5,7.5,C-M0
55,0.0,0.247680664062,0.247589111328,0.247985839844,0.247833251953,0.247955322266,0.247772216797,0.247741699219,0.216819763184,y22,0x55,20,C,35.0,12.5,5.0,C-M0
56,0.0,0.247833251953,0.247833251953,0.247894287109,0.247680664062,0.247711181641,0.247894287109,0.247467041016,0.216789245605,y22,0x55,20,C,35.0,12.5,2.5,C-M0
57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x55,20,C,35.0,12.5,10.0,C-M0
58,0.0,0.00119563844055,0.000111346133053,0.000141587108374,1.42334029078e-05,3.87253239751e-05,0.000188577920198,0.00078210234642,0.000309026334435,y22,0x55,20,C,35.0,12.5,7.5,C-M0
59,0.0,0.248291015625,0.247467041016,0.247802734375,0.247497558594,0.247436523438,0.247863769531,0.247680664062,0.21675491333,y22,0x55,20,C,35.0,12.5,5.0,C-M0
60,0.0,0.247680664062,0.247802734375,0.247802734375,0.247680664062,0.247985839844,0.247833251953,0.248077392578,0.216857910156,y22,0x55,20,C,35.0,12.5,2.5,C-M0
61,0.0,0.494628933258,0.495117223822,0.495239285752,0.495727580972,0.495483431965,0.495117210783,0.494506889954,0.433227569563,y22,0x0,20,C,35.0,12.5,2.5,C-M0
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x33,20,C,35.0,12.5,10.0,C-M0
63,0.0,0.00121842510998,0.000171397812665,0.000202524475753,1.43377110362e-05,4.14056703448e-05,0.000230797566473,0.000903056003153,0.000347743043676,y22,0x33,20,C,35.0,12.5,7.5,C-M0
64,0.0,0.247741699219,0.247985839844,0.247955322266,0.247680664062,0.247772216797,0.248077392578,0.247894287109,0.216888427734,y22,0x33,20,C,35.0,12.5,5.0,C-M0
65,0.0,0.247467041016,0.24774170015,0.247619628906,0.247802734375,0.247772216797,0.247650146484,0.247711182572,0.216720581288,y22,0x33,20,C,35.0,12.5,2.5,C-M0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0xff,20,C,35.0,12.5,10.0,C-M0
67,0.0,0.000999291427433,8.24127346277e-05,0.000127016566694,1.36569142342e-05,2.06241384149e-05,0.000207522884011,0.000827742740512,0.000284783425741,y22,0xff,20,C,35.0,12.5,7.5,C-M0
68,0.0,0.494995120913,0.496093755588,0.49578857515,0.495544435456,0.495300295763,0.495788579807,0.495056155138,0.433570864727,y22,0xff,20,C,35.0,12.5,5.0,C-M0
69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0xff,20,C,35.0,12.5,10.0,C-M0
70,0.0,0.000311149284244,2.39126384258e-05,3.55485826731e-05,7.06687569618e-06,4.57558780909e-06,6.66854903102e-05,0.000286716036499,9.19568119571e-05,y22,0xff,20,C,35.0,12.5,7.5,C-M0
71,0.0,0.495910644531,0.496520996094,0.495727539062,0.496643066406,0.495666503906,0.495788574219,0.49560546875,0.433982849121,y22,0xff,20,C,35.0,12.5,5.0,C-M0
72,0.0,0.495422372594,0.495361337438,0.495727547444,0.495605472475,0.495788577013,0.495300297625,0.495849609375,0.433631901746,y22,0xff,20,C,35.0,12.5,2.5,C-M0
73,0.0,0.496093752794,0.495300296694,0.496276862919,0.495544433594,0.496032722294,0.495178228244,0.495910647325,0.433792117983,y22,0xff,20,C,35.0,12.5,2.5,C-M0
74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0xff,20,C,35.0,12.5,10.0,C-M0
75,0.0,0.00106458831578,9.39453020692e-05,0.000143584795296,1.49989500642e-05,3.01850959659e-05,0.000224901363254,0.000942776910961,0.000314372591674,y22,0xff,20,C,35.0,12.5,7.5,C-M0
76,0.0,0.495910644531,0.495178222656,0.495483398438,0.496826171875,0.496032714844,0.495910644531,0.495971679688,0.43391418457,y22,0xff,20,C,35.0,12.5,5.0,C-M0
77,0.0,0.495544441976,0.495544440113,0.49603272602,0.4954834003,0.494567876682,0.495178231969,0.495544435456,0.433486944064,y22,0xff,20,C,35.0,12.5,2.5,C-M0
78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0x0,20,C,35.0,12.5,10.0,C-M0
79,0.0,0.000970144756138,8.12383368611e-05,0.000127707608044,9.66340303421e-06,2.47098505497e-05,0.000215279869735,0.000844196416438,0.0002841175301,y22,0x0,20,C,35.0,12.5,7.5,C-M0
80,0.0,0.496215842664,0.494384819642,0.495910667814,0.495483427308,0.495361358859,0.495422388427,0.495239297859,0.433502225322,y22,0x0,20,C,35.0,12.5,5.0,C-M0
81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0xff,20,C,35.0,12.5,12.5,C-M0
82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,y22,0xff,20,C,35.0,12.5,10.0,C-M0
83,0.0,0.00118809752166,0.000107889063656,0.000153514556587,1.16219744086e-05,3.06246802211e-05,0.000238029286265,0.00102413445711,0.000344238942489,y22,0xff,20,C,35.0,12.5,7.5,C-M0
